Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,136,8704000000,395.61,45.28,0.23,14860241.34,100%
read,read,54,54000000000,5736.48,71.57,0.09,92193592.89,100%
write,write,39,2496000,119.1,118.9,0.07,4219.95,100%
write,write,48,3072000000,798.44,402.21,0.08,5193786.39,100%
write,write,17,17000000000,10220.76,597.06,0.03,28741656.47,100%
list,list,59,0,21.51,21.51,0.1,0,100%
delete,delete,46,0,46.89,46.89,0.08,0,100%
read,read,137,8768000,42.34,40.6,0.23,14823.93,100%
read,read,139,8896000000,446.01,42.51,0.24,15040339.76,100%
read,read,52,52000000000,5836.21,75.67,0.09,87915655.07,100%
write,write,33,2112000,315.18,315.12,0.06,3604.19,100%
write,write,25,1600000000,672.04,282.28,0.04,2730449.98,100%
write,write,15,15000000000,10652.93,648.13,0.03,25597968.55,100%
list,list,38,0,12.58,12.58,0.06,0,100%
delete,delete,51,0,50.2,50.2,0.09,0,100%
read,read,109,6976000,21.11,20.9,0.19,11904.76,100%
read,read,111,7104000000,415.81,48.89,0.19,12123197.9,100%
read,read,60,60000000000,5791.03,65.72,0.1,102391874.18,100%
write,write,37,2368000,55.11,55.05,0.06,3993.46,100%
write,write,47,3008000000,1059.28,563.34,0.08,5072777.83,100%
write,write,15,15000000000,8592.67,257.27,0.03,25296432.02,100%
list,list,44,0,18.23,18.23,0.07,0,100%
delete,delete,46,0,103.52,103.52,0.08,0,100%
read,read,116,7424000,19.46,19.16,0.2,12520.05,100%
read,read,120,7680000000,393.03,39.73,0.2,12951773.2,100%
read,read,63,63000000000,5670.38,53.37,0.11,106245014.49,100%
write,write,47,3008000,45.55,45.47,0.08,5056.06,100%
write,write,40,2560000000,982.6,477.3,0.07,4303027.25,100%
write,write,22,22000000000,9729.95,501.05,0.04,36979140.4,100%
list,list,54,0,10.96,10.96,0.09,0,100%
delete,delete,44,0,47.34,47.34,0.07,0,100%
read,read,135,8640000,36.11,35.94,0.23,14522.72,100%
read,read,117,7488000000,392.63,48.25,0.2,12586354.7,100%
read,read,55,55000000000,5198.15,45.38,0.09,92447851.01,100%
write,write,36,2304000,61.28,61.22,0.06,3883.94,100%
write,write,43,2752000000,758.19,387.42,0.07,4639150.93,100%
write,write,14,14000000000,9123.57,417.64,0.02,23600331.75,100%
list,list,55,0,203.96,203.96,0.09,0,100%
delete,delete,41,0,68.68,68.68,0.07,0,100%
read,read,106,6784000,36.75,36.54,0.18,11436.05,100%
read,read,108,6912000000,352.9,58.46,0.18,11651820.93,100%
read,read,66,66000000000,5675.61,72.3,0.11,111258706.84,100%
